County,Date,Connections
Carlow ,2014,8
Cavan,2014,18
Clare,2014,31
Cork,2014,58
Donegal,2014,29
D/L Rathdown,2014,61
Fingal,2014,36
Galway,2014,36
Kerry,2014,22
Kildare,2014,28
Kilkenny,2014,14
Laois,2014,27
Leitrim,2014,3
Limerick City and County,2014,16
Longford,2014,4
Louth,2014,24
Mayo,2014,34
Meath,2014,31
Monaghan,2014,5
Offaly,2014,10
Roscommon,2014,14
Sligo,2014,5
South Dublin,2014,10
Tipperary,2014,20
Waterford City and County,2014,22
Westmeath,2014,19
Wexford,2014,24
Wicklow,2014,21
Cork,2014,8
Dublin,2014,35
Galway,2014,3
TOTALS,2014,676
Carlow ,Unnamed: 2,6
Cavan,Unnamed: 2,10
Clare,Unnamed: 2,11
Cork,Unnamed: 2,37
Donegal,Unnamed: 2,29
D/L Rathdown,Unnamed: 2,75
Fingal,Unnamed: 2,47
Galway,Unnamed: 2,33
Kerry,Unnamed: 2,10
Kildare,Unnamed: 2,42
Kilkenny,Unnamed: 2,3
Laois,Unnamed: 2,9
Leitrim,Unnamed: 2,9
Limerick City and County,Unnamed: 2,12
Longford,Unnamed: 2,7
Louth,Unnamed: 2,22
Mayo,Unnamed: 2,25
Meath,Unnamed: 2,33
Monaghan,Unnamed: 2,11
Offaly,Unnamed: 2,12
Roscommon,Unnamed: 2,22
Sligo,Unnamed: 2,10
South Dublin,Unnamed: 2,17
Tipperary,Unnamed: 2,12
Waterford City and County,Unnamed: 2,15
Westmeath,Unnamed: 2,13
Wexford,Unnamed: 2,12
Wicklow,Unnamed: 2,11
Cork,Unnamed: 2,10
Dublin,Unnamed: 2,44
Galway,Unnamed: 2,2
TOTALS,Unnamed: 2,611
Carlow ,Unnamed: 3,30
Cavan,Unnamed: 3,15
Clare,Unnamed: 3,19
Cork,Unnamed: 3,76
Donegal,Unnamed: 3,25
D/L Rathdown,Unnamed: 3,24
Fingal,Unnamed: 3,43
Galway,Unnamed: 3,50
Kerry,Unnamed: 3,38
Kildare,Unnamed: 3,36
Kilkenny,Unnamed: 3,21
Laois,Unnamed: 3,8
Leitrim,Unnamed: 3,7
Limerick City and County,Unnamed: 3,22
Longford,Unnamed: 3,27
Louth,Unnamed: 3,16
Mayo,Unnamed: 3,29
Meath,Unnamed: 3,28
Monaghan,Unnamed: 3,9
Offaly,Unnamed: 3,11
Roscommon,Unnamed: 3,8
Sligo,Unnamed: 3,5
South Dublin,Unnamed: 3,84
Tipperary,Unnamed: 3,28
Waterford City and County,Unnamed: 3,13
Westmeath,Unnamed: 3,16
Wexford,Unnamed: 3,41
Wicklow,Unnamed: 3,22
Cork,Unnamed: 3,12
Dublin,Unnamed: 3,33
Galway,Unnamed: 3,7
TOTALS,Unnamed: 3,803
Carlow ,Unnamed: 4,8
Cavan,Unnamed: 4,21
Clare,Unnamed: 4,27
Cork,Unnamed: 4,88
Donegal,Unnamed: 4,31
D/L Rathdown,Unnamed: 4,48
Fingal,Unnamed: 4,34
Galway,Unnamed: 4,27
Kerry,Unnamed: 4,25
Kildare,Unnamed: 4,29
Kilkenny,Unnamed: 4,13
Laois,Unnamed: 4,8
Leitrim,Unnamed: 4,4
Limerick City and County,Unnamed: 4,15
Longford,Unnamed: 4,12
Louth,Unnamed: 4,16
Mayo,Unnamed: 4,27
Meath,Unnamed: 4,25
Monaghan,Unnamed: 4,10
Offaly,Unnamed: 4,5
Roscommon,Unnamed: 4,21
Sligo,Unnamed: 4,12
South Dublin,Unnamed: 4,22
Tipperary,Unnamed: 4,18
Waterford City and County,Unnamed: 4,8
Westmeath,Unnamed: 4,15
Wexford,Unnamed: 4,29
Wicklow,Unnamed: 4,10
Cork,Unnamed: 4,16
Dublin,Unnamed: 4,138
Galway,Unnamed: 4,4
TOTALS,Unnamed: 4,766
Carlow ,Unnamed: 5,19
Cavan,Unnamed: 5,16
Clare,Unnamed: 5,25
Cork,Unnamed: 5,75
Donegal,Unnamed: 5,48
D/L Rathdown,Unnamed: 5,141
Fingal,Unnamed: 5,47
Galway,Unnamed: 5,48
Kerry,Unnamed: 5,26
Kildare,Unnamed: 5,47
Kilkenny,Unnamed: 5,17
Laois,Unnamed: 5,20
Leitrim,Unnamed: 5,9
Limerick City and County,Unnamed: 5,35
Longford,Unnamed: 5,7
Louth,Unnamed: 5,31
Mayo,Unnamed: 5,28
Meath,Unnamed: 5,33
Monaghan,Unnamed: 5,13
Offaly,Unnamed: 5,8
Roscommon,Unnamed: 5,14
Sligo,Unnamed: 5,17
South Dublin,Unnamed: 5,89
Tipperary,Unnamed: 5,33
Waterford City and County,Unnamed: 5,22
Westmeath,Unnamed: 5,12
Wexford,Unnamed: 5,37
Wicklow,Unnamed: 5,26
Cork,Unnamed: 5,10
Dublin,Unnamed: 5,127
Galway,Unnamed: 5,5
TOTALS,Unnamed: 5,"1,085"
Carlow ,Unnamed: 6,14
Cavan,Unnamed: 6,14
Clare,Unnamed: 6,20
Cork,Unnamed: 6,71
Donegal,Unnamed: 6,38
D/L Rathdown,Unnamed: 6,55
Fingal,Unnamed: 6,71
Galway,Unnamed: 6,31
Kerry,Unnamed: 6,20
Kildare,Unnamed: 6,46
Kilkenny,Unnamed: 6,16
Laois,Unnamed: 6,11
Leitrim,Unnamed: 6,4
Limerick City and County,Unnamed: 6,24
Longford,Unnamed: 6,9
Louth,Unnamed: 6,22
Mayo,Unnamed: 6,42
Meath,Unnamed: 6,32
Monaghan,Unnamed: 6,10
Offaly,Unnamed: 6,12
Roscommon,Unnamed: 6,13
Sligo,Unnamed: 6,6
South Dublin,Unnamed: 6,26
Tipperary,Unnamed: 6,25
Waterford City and County,Unnamed: 6,14
Westmeath,Unnamed: 6,11
Wexford,Unnamed: 6,66
Wicklow,Unnamed: 6,22
Cork,Unnamed: 6,19
Dublin,Unnamed: 6,109
Galway,Unnamed: 6,18
TOTALS,Unnamed: 6,891
Carlow ,Unnamed: 7,30
Cavan,Unnamed: 7,24
Clare,Unnamed: 7,37
Cork,Unnamed: 7,98
Donegal,Unnamed: 7,32
D/L Rathdown,Unnamed: 7,38
Fingal,Unnamed: 7,76
Galway,Unnamed: 7,52
Kerry,Unnamed: 7,22
Kildare,Unnamed: 7,58
Kilkenny,Unnamed: 7,14
Laois,Unnamed: 7,16
Leitrim,Unnamed: 7,10
Limerick City and County,Unnamed: 7,20
Longford,Unnamed: 7,9
Louth,Unnamed: 7,19
Mayo,Unnamed: 7,31
Meath,Unnamed: 7,43
Monaghan,Unnamed: 7,14
Offaly,Unnamed: 7,8
Roscommon,Unnamed: 7,9
Sligo,Unnamed: 7,16
South Dublin,Unnamed: 7,63
Tipperary,Unnamed: 7,24
Waterford City and County,Unnamed: 7,32
Westmeath,Unnamed: 7,11
Wexford,Unnamed: 7,41
Wicklow,Unnamed: 7,19
Cork,Unnamed: 7,20
Dublin,Unnamed: 7,100
Galway,Unnamed: 7,6
TOTALS,Unnamed: 7,992
Carlow ,Unnamed: 8,10
Cavan,Unnamed: 8,30
Clare,Unnamed: 8,23
Cork,Unnamed: 8,100
Donegal,Unnamed: 8,26
D/L Rathdown,Unnamed: 8,27
Fingal,Unnamed: 8,94
Galway,Unnamed: 8,46
Kerry,Unnamed: 8,19
Kildare,Unnamed: 8,47
Kilkenny,Unnamed: 8,12
Laois,Unnamed: 8,14
Leitrim,Unnamed: 8,10
Limerick City and County,Unnamed: 8,23
Longford,Unnamed: 8,4
Louth,Unnamed: 8,17
Mayo,Unnamed: 8,22
Meath,Unnamed: 8,22
Monaghan,Unnamed: 8,17
Offaly,Unnamed: 8,11
Roscommon,Unnamed: 8,7
Sligo,Unnamed: 8,12
South Dublin,Unnamed: 8,46
Tipperary,Unnamed: 8,12
Waterford City and County,Unnamed: 8,11
Westmeath,Unnamed: 8,16
Wexford,Unnamed: 8,25
Wicklow,Unnamed: 8,19
Cork,Unnamed: 8,5
Dublin,Unnamed: 8,48
Galway,Unnamed: 8,7
TOTALS,Unnamed: 8,782
Carlow ,Unnamed: 9,16
Cavan,Unnamed: 9,20
Clare,Unnamed: 9,30
Cork,Unnamed: 9,78
Donegal,Unnamed: 9,44
D/L Rathdown,Unnamed: 9,35
Fingal,Unnamed: 9,113
Galway,Unnamed: 9,32
Kerry,Unnamed: 9,29
Kildare,Unnamed: 9,33
Kilkenny,Unnamed: 9,17
Laois,Unnamed: 9,19
Leitrim,Unnamed: 9,4
Limerick City and County,Unnamed: 9,29
Longford,Unnamed: 9,12
Louth,Unnamed: 9,41
Mayo,Unnamed: 9,33
Meath,Unnamed: 9,38
Monaghan,Unnamed: 9,11
Offaly,Unnamed: 9,16
Roscommon,Unnamed: 9,17
Sligo,Unnamed: 9,11
South Dublin,Unnamed: 9,225
Tipperary,Unnamed: 9,28
Waterford City and County,Unnamed: 9,21
Westmeath,Unnamed: 9,21
Wexford,Unnamed: 9,40
Wicklow,Unnamed: 9,21
Cork,Unnamed: 9,22
Dublin,Unnamed: 9,122
Galway,Unnamed: 9,5
TOTALS,Unnamed: 9,"1,183"
Carlow ,Unnamed: 10,9
Cavan,Unnamed: 10,25
Clare,Unnamed: 10,39
Cork,Unnamed: 10,92
Donegal,Unnamed: 10,36
D/L Rathdown,Unnamed: 10,43
Fingal,Unnamed: 10,69
Galway,Unnamed: 10,36
Kerry,Unnamed: 10,32
Kildare,Unnamed: 10,47
Kilkenny,Unnamed: 10,16
Laois,Unnamed: 10,20
Leitrim,Unnamed: 10,7
Limerick City and County,Unnamed: 10,13
Longford,Unnamed: 10,16
Louth,Unnamed: 10,34
Mayo,Unnamed: 10,24
Meath,Unnamed: 10,26
Monaghan,Unnamed: 10,14
Offaly,Unnamed: 10,16
Roscommon,Unnamed: 10,13
Sligo,Unnamed: 10,16
South Dublin,Unnamed: 10,153
Tipperary,Unnamed: 10,26
Waterford City and County,Unnamed: 10,30
Westmeath,Unnamed: 10,29
Wexford,Unnamed: 10,34
Wicklow,Unnamed: 10,17
Cork,Unnamed: 10,5
Dublin,Unnamed: 10,56
Galway,Unnamed: 10,14
TOTALS,Unnamed: 10,"1,007"
Carlow ,Unnamed: 11,11
Cavan,Unnamed: 11,29
Clare,Unnamed: 11,20
Cork,Unnamed: 11,108
Donegal,Unnamed: 11,57
D/L Rathdown,Unnamed: 11,55
Fingal,Unnamed: 11,89
Galway,Unnamed: 11,59
Kerry,Unnamed: 11,25
Kildare,Unnamed: 11,68
Kilkenny,Unnamed: 11,13
Laois,Unnamed: 11,17
Leitrim,Unnamed: 11,9
Limerick City and County,Unnamed: 11,33
Longford,Unnamed: 11,12
Louth,Unnamed: 11,31
Mayo,Unnamed: 11,41
Meath,Unnamed: 11,41
Monaghan,Unnamed: 11,16
Offaly,Unnamed: 11,14
Roscommon,Unnamed: 11,15
Sligo,Unnamed: 11,18
South Dublin,Unnamed: 11,58
Tipperary,Unnamed: 11,20
Waterford City and County,Unnamed: 11,17
Westmeath,Unnamed: 11,23
Wexford,Unnamed: 11,61
Wicklow,Unnamed: 11,26
Cork,Unnamed: 11,9
Dublin,Unnamed: 11,28
Galway,Unnamed: 11,8
TOTALS,Unnamed: 11,"1,031"
Carlow ,Unnamed: 12,8
Cavan,Unnamed: 12,37
Clare,Unnamed: 12,28
Cork,Unnamed: 12,117
Donegal,Unnamed: 12,44
D/L Rathdown,Unnamed: 12,111
Fingal,Unnamed: 12,90
Galway,Unnamed: 12,49
Kerry,Unnamed: 12,41
Kildare,Unnamed: 12,67
Kilkenny,Unnamed: 12,23
Laois,Unnamed: 12,20
Leitrim,Unnamed: 12,10
Limerick City and County,Unnamed: 12,28
Longford,Unnamed: 12,10
Louth,Unnamed: 12,53
Mayo,Unnamed: 12,44
Meath,Unnamed: 12,51
Monaghan,Unnamed: 12,12
Offaly,Unnamed: 12,7
Roscommon,Unnamed: 12,21
Sligo,Unnamed: 12,17
South Dublin,Unnamed: 12,39
Tipperary,Unnamed: 12,27
Waterford City and County,Unnamed: 12,27
Westmeath,Unnamed: 12,31
Wexford,Unnamed: 12,45
Wicklow,Unnamed: 12,31
Cork,Unnamed: 12,19
Dublin,Unnamed: 12,74
Galway,Unnamed: 12,8
TOTALS,Unnamed: 12,"1,189"
Carlow ,Unnamed: 13,169
Cavan,Unnamed: 13,259
Clare,Unnamed: 13,310
Cork,Unnamed: 13,998
Donegal,Unnamed: 13,439
D/L Rathdown,Unnamed: 13,713
