County,Date,Connections,Year,Month,Log_Connections
Carlow ,2014-01-01,8,2014.0,1.0,2.1972245773362196
Cavan,2014-01-01,18,2014.0,1.0,2.9444389791664403
Clare,2014-01-01,31,2014.0,1.0,3.4657359027997265
Cork,2014-01-01,58,2014.0,1.0,4.07753744390572
Donegal,2014-01-01,29,2014.0,1.0,3.4011973816621555
D/L Rathdown,2014-01-01,61,2014.0,1.0,4.127134385045092
Fingal,2014-01-01,36,2014.0,1.0,3.6109179126442243
Galway,2014-01-01,36,2014.0,1.0,3.6109179126442243
Kerry,2014-01-01,22,2014.0,1.0,3.1354942159291497
Kildare,2014-01-01,28,2014.0,1.0,3.367295829986474
Kilkenny,2014-01-01,14,2014.0,1.0,2.70805020110221
Laois,2014-01-01,27,2014.0,1.0,3.332204510175204
Leitrim,2014-01-01,3,2014.0,1.0,1.3862943611198906
Limerick City and County,2014-01-01,16,2014.0,1.0,2.833213344056216
Longford,2014-01-01,4,2014.0,1.0,1.6094379124341003
Louth,2014-01-01,24,2014.0,1.0,3.2188758248682006
Mayo,2014-01-01,34,2014.0,1.0,3.5553480614894135
Meath,2014-01-01,31,2014.0,1.0,3.4657359027997265
Monaghan,2014-01-01,5,2014.0,1.0,1.791759469228055
Offaly,2014-01-01,10,2014.0,1.0,2.3978952727983707
Roscommon,2014-01-01,14,2014.0,1.0,2.70805020110221
Sligo,2014-01-01,5,2014.0,1.0,1.791759469228055
South Dublin,2014-01-01,10,2014.0,1.0,2.3978952727983707
Tipperary,2014-01-01,20,2014.0,1.0,3.044522437723423
Waterford City and County,2014-01-01,22,2014.0,1.0,3.1354942159291497
Westmeath,2014-01-01,19,2014.0,1.0,2.995732273553991
Wexford,2014-01-01,24,2014.0,1.0,3.2188758248682006
Wicklow,2014-01-01,21,2014.0,1.0,3.091042453358316
Cork,2014-01-01,8,2014.0,1.0,2.1972245773362196
Dublin,2014-01-01,35,2014.0,1.0,3.58351893845611
Galway,2014-01-01,3,2014.0,1.0,1.3862943611198906
TOTALS,2014-01-01,676,2014.0,1.0,6.517671272912275
Carlow ,2015-01-01,7,2015.0,1.0,2.0794415416798357
Cavan,2015-01-01,20,2015.0,1.0,3.044522437723423
Clare,2015-01-01,14,2015.0,1.0,2.70805020110221
Cork,2015-01-01,73,2015.0,1.0,4.30406509320417
Donegal,2015-01-01,37,2015.0,1.0,3.6375861597263857
D/L Rathdown,2015-01-01,25,2015.0,1.0,3.258096538021482
Fingal,2015-01-01,42,2015.0,1.0,3.7612001156935624
Galway,2015-01-01,34,2015.0,1.0,3.5553480614894135
Kerry,2015-01-01,17,2015.0,1.0,2.8903717578961645
Kildare,2015-01-01,41,2015.0,1.0,3.7376696182833684
Kilkenny,2015-01-01,10,2015.0,1.0,2.3978952727983707
Laois,2015-01-01,10,2015.0,1.0,2.3978952727983707
Leitrim,2015-01-01,12,2015.0,1.0,2.5649493574615367
Limerick City and County,2015-01-01,14,2015.0,1.0,2.70805020110221
Longford,2015-01-01,6,2015.0,1.0,1.9459101490553132
Louth,2015-01-01,34,2015.0,1.0,3.5553480614894135
Mayo,2015-01-01,21,2015.0,1.0,3.091042453358316
Meath,2015-01-01,36,2015.0,1.0,3.6109179126442243
Monaghan,2015-01-01,8,2015.0,1.0,2.1972245773362196
Offaly,2015-01-01,20,2015.0,1.0,3.044522437723423
Roscommon,2015-01-01,9,2015.0,1.0,2.302585092994046
Sligo,2015-01-01,16,2015.0,1.0,2.833213344056216
South Dublin,2015-01-01,14,2015.0,1.0,2.70805020110221
Tipperary,2015-01-01,22,2015.0,1.0,3.1354942159291497
Waterford City and County,2015-01-01,22,2015.0,1.0,3.1354942159291497
Westmeath,2015-01-01,8,2015.0,1.0,2.1972245773362196
Wexford,2015-01-01,27,2015.0,1.0,3.332204510175204
Wicklow,2015-01-01,16,2015.0,1.0,2.833213344056216
Cork,2015-01-01,12,2015.0,1.0,2.5649493574615367
Dublin,2015-01-01,37,2015.0,1.0,3.6375861597263857
Galway,2015-01-01,29,2015.0,1.0,3.4011973816621555
TOTALS,2015-01-01,693,2015.0,1.0,6.542471960506805
Carlow ,2016-01-01,12,2016.0,1.0,2.5649493574615367
Cavan,2016-01-01,8,2016.0,1.0,2.1972245773362196
Clare,2016-01-01,26,2016.0,1.0,3.295836866004329
Cork,2016-01-01,84,2016.0,1.0,4.442651256490317
Donegal,2016-01-01,44,2016.0,1.0,3.8066624897703196
D/L Rathdown,2016-01-01,86,2016.0,1.0,4.465908118654584
Fingal,2016-01-01,109,2016.0,1.0,4.700480365792417
Galway,2016-01-01,39,2016.0,1.0,3.6888794541139363
Kerry,2016-01-01,19,2016.0,1.0,2.995732273553991
Kildare,2016-01-01,76,2016.0,1.0,4.343805421853684
Kilkenny,2016-01-01,7,2016.0,1.0,2.0794415416798357
Laois,2016-01-01,11,2016.0,1.0,2.4849066497880004
Leitrim,2016-01-01,12,2016.0,1.0,2.5649493574615367
Limerick City and County,2016-01-01,21,2016.0,1.0,3.091042453358316
Longford,2016-01-01,6,2016.0,1.0,1.9459101490553132
Louth,2016-01-01,15,2016.0,1.0,2.772588722239781
Mayo,2016-01-01,18,2016.0,1.0,2.9444389791664403
Meath,2016-01-01,20,2016.0,1.0,3.044522437723423
Monaghan,2016-01-01,9,2016.0,1.0,2.302585092994046
Offaly,2016-01-01,11,2016.0,1.0,2.4849066497880004
Roscommon,2016-01-01,10,2016.0,1.0,2.3978952727983707
Sligo,2016-01-01,13,2016.0,1.0,2.6390573296152584
South Dublin,2016-01-01,20,2016.0,1.0,3.044522437723423
Tipperary,2016-01-01,29,2016.0,1.0,3.4011973816621555
Waterford City and County,2016-01-01,16,2016.0,1.0,2.833213344056216
Westmeath,2016-01-01,14,2016.0,1.0,2.70805020110221
Wexford,2016-01-01,47,2016.0,1.0,3.871201010907891
Wicklow,2016-01-01,21,2016.0,1.0,3.091042453358316
Cork,2016-01-01,25,2016.0,1.0,3.258096538021482
Dublin,2016-01-01,87,2016.0,1.0,4.477336814478207
Galway,2016-01-01,5,2016.0,1.0,1.791759469228055
TOTALS,2016-01-01,920,2016.0,1.0,6.825460036255307
